document_number,abstract
testing12345,The quick brown fox jumps over the lazy dog.
2018-10583,We are superseding Airworthiness Directive (AD) 2017-11-03 for DG Flugzeugbau GmbH Model DG-500MB gliders that are equipped with a Solo 2625 02 engine modified with a fuel injection system following the instructions of Solo Kleinmoteren GmbH Technische Mitteilung 4600-3 and identified as Solo 2625 02i. This AD results from mandatory continuing airworthiness information (MCAI) issued by an aviation authority of another country to identify and correct an unsafe condition on an aviation product. The MCAI describes the unsafe condition as failure of the connecting rod bearing resulting from too much load on the rod bearings from the engine control unit. This AD adds a model to the applicability. We are issuing this AD to require actions to address the unsafe condition on these products.
2018-10902,"The Commodity Futures Trading Commission (Commission or CFTC) is granting an exemption to certain member firms designated by the National Stock Exchange of India Ltd. (NSE) from the application of certain of the Commission's foreign futures and option regulations based upon substituted compliance with certain comparable regulatory and self-regulatory requirements of a foreign regulatory authority consistent with conditions specified by the Commission, as set forth herein. This Order is issued pursuant to Commission Regulation 30.10, which permit persons to file a petition with the Commission for exemption from the application of certain of the Regulations set forth in part 30 and authorizes the Commission to grant such an exemption if such action would not be otherwise contrary to the public interest or to the purposes of the provision from which exemption is sought. The Commission notes that this Order does not pertain to any transaction in swaps, as defined in Section 1a(47) of the Commodity Exchange Act (Act)."
2018-10867,We are extending the expiration date of Endocrine Disorders body system in the Listing of Impairments (listings) in our regulations. We are making no other revisions to the body system in this final rule. This extension ensures that we will continue to have the criteria we need to evaluate impairments in the affected body system at step three of the sequential evaluation processes for initial claims and continuing disability reviews.
2018-10872,"The Coast Guard has issued a temporary deviation from the operating schedule that governs the Monmouth County Highway Bridge (alternatively referred to as the ``Sea Bright Bridge'' or the ``S-32 Bridge'') across the Shrewsbury River, mile 4.0, at Sea Bright, New Jersey. This deviation will test a proposed change to the drawbridge operation schedule to determine whether a permanent change to the schedule is warranted. This deviation will allow the bridge to operate under an alternate schedule that seeks to balance the seasonally high volume of roadway traffic crossing the bridge during peak hours with the existing needs of marine traffic."
2018-10940,"The Coast Guard has issued a temporary deviation from the operating schedule that governs the Loop Parkway Bridge across Long Creek, mile 0.7, and Meadowbrook State Parkway Bridge across Sloop Channel, mile 12.8, both at Hempstead, New York. This deviation is necessary in order to facilitate a motorcycle ride event and allows both bridges to remain in the closed position for two hours."
2018-10860,"The Coast Guard will enforce the temporary safety zone for the 42nd Annual Swim Around Key West, Key West, Florida from 9 a.m. until 6 p.m. on June 16, 2018. Our regulation for Recurring Safety Zones in Captain of the Port Key West Zone identifies the regulated area for this event. This action is necessary to ensure the safety of event participants and spectators. During the enforcement period, no person or vessel may enter, transit through, anchor in, or remain within the regulated area without approval from the Captain of the Port Key West or a designated representative."
2018-10861,"The Coast Guard will enforce the temporary safety zone for the Annual FKCC Swim Around Key West, in Key West, Florida from 9 a.m. until 6 p.m. on June 30, 2018. Our regulation for Recurring Safety Zones in Captain of the Port Key West Zone identifies the regulated area for this event. This action is necessary to ensure the safety of event participants and spectators. During the enforcement period, no person or vessel may enter, transit through, anchor in, or remain within the regulated area without approval from the Captain of the Port Key West or a designated representative."
2018-10891,"The Coast Guard will enforce the safety zone in 33 CFR 165.929 for the Michigan City Summerfest Fireworks on a portion of Lake Michigan on July 4, 2018. This action is necessary and intended to ensure safety of life and property on navigable waters prior to, during, and immediately after the fireworks display. During the enforcement period listed below, entry into, transiting, or anchoring within the safety zone is prohibited unless authorized by the Captain of the Port Lake Michigan or a designated representative."
2018-10923,"This document corrects technical errors that appeared in the final rule with comment period and interim final rule with comment period published in the Federal Register on November 16, 2017 entitled ``Medicare Program; CY 2018 Updates to the Quality Payment Program; and Quality Payment Program: Extreme and Uncontrollable Circumstance Policy for the Transition Year'' (hereinafter referred to as the ``CY 2018 Quality Payment Program final rule'')."
2018-10844,"This rule identifies communities where the sale of flood insurance has been authorized under the National Flood Insurance Program (NFIP) that are scheduled for suspension on the effective dates listed within this rule because of noncompliance with the floodplain management requirements of the program. If the Federal Emergency Management Agency (FEMA) receives documentation that the community has adopted the required floodplain management measures prior to the effective suspension date given in this rule, the suspension will not occur and a notice of this will be provided by publication in the Federal Register on a subsequent date. Also, information identifying the current participation status of a community can be obtained from FEMA's Community Status Book (CSB). The CSB is available at https:// www.fema.gov/national-flood-insurance-program-community-status-book."
2018-10810,"The Federal Communications Commission (Commission) published a document in the Federal Register on May 14, 2018, announcing that the Office of Management and Budget (OMB) has approved, for a period of three years, the information collection associated with the Commission's discontinuance rules. The document incorrectly referred to the Commission's discontinuance rules rather than its network change disclosure rules."
2018-10854,"In this document, the Wireless Telecommunications Bureau and Wireline Competition Bureau (the Bureaus) reconsider certain aspects of the Mobility Fund Phase II (MF- II) challenge process procedures on their own motion and modify certain parameters for speed test measurements needed to file a successful challenge to an area that is initially deemed ineligible for MF-II support."
2018-10811,"In this document, the Commission announces that the Office of Management and Budget (OMB) has approved, for a period of three years, the new information collection associated with the Commission's Promoting Spectrum Access for Wireless Microphone Operations, Order on Reconsideration, Further Notice of Proposed Rulemaking. This document is consistent with the Order, which stated that the Commission would publish a document in the Federal Register announcing the effective date of those rules."
2018-10930,"The Coast Guard proposes to establish a temporary safety zone for certain navigable waters of Cooper River at Patriot's Point in Charleston, SC. This action is necessary to provide for the safety of the general public, spectators, vessels, and the marine environment from potential hazards during a fireworks display. This proposed rulemaking would prohibit persons and vessels from entering, transiting through, anchoring in, or remaining within the safety zone unless authorized by the Captain of the Port Charleston (COTP) or a designated representative. We invite your comments on this proposed rulemaking."
